№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,
15,"АДЕНОПРОСИН®
(ADENOPROSIN)",аdenoprosin*,Суппозитории ректальные 150 мг №10 (2х5) (контурные ячейковые упаковки),Молдова,"К.О. БИОТЕХНОС С.А., Румыния произведено: ФАРМАПРИМ, ООО",Препараты применяемые в урологии. Другие препараты применяемые в урологии.,G04BX,DV/X 06806/09/19,20.09.19 25.07.25,,по рецепту,,
16,"АДИПИН®
(Adipin)",amlodipine,"Таблетки, покрытые пленочной оболочкой 5 мг, 10 мг N30 (3x10) (упаковки контурные ячейковые)",Грузия,"Джи ЭМ Фармасютикалс, ООО",Антигипертензивное средство (блокатор кальциевых каналов),С08СА01,DV/X 02156/09/16,23.09.16 10.09.21,,по рецепту,,
17,"АДРЕНАЛИН- ЗДОРОВЬЕ
(Adrenalin)",epinephrine,"Раствор для инъекций 1,82 мг/мл 1 мл N5, N5 (1х5), N10, N10 (2х5), N10 (1х10) (ампулы)",Украина,"Укрфармэкспорт, ООО",Антигипотензивное средство,C01CA24,DV/X 02939/04/17,21.04.17 16.06.22,введены изменения: 12.03.24,по рецепту,,
18,"Адреналин
(Adrenalin)",Epinephrine,Раствор для инъекций 1 мг/мл 1 мл №5 (1х5) (ампулы),Россия,"Московский эндокринный завод , ФГУП","Средства для лечения заболеваний сердца; кардиотонические средства, кроме сердечных гликозидов; адренергические и дофаминергические средства",C01CA24,DV/X 06923/10/19,10.10.19 31.10.25,,по рецепту,,
19,"АДРЕНАЛИН-ДАРНИЦА
(Adrenalin-Darnitsa)",epinephrine,"Раствор для инъекций 1,8 мг/мл 1 мл N10 (2х5) (ампулы)",Украина,"Дарница, Фармацевтическая фирма, ЧАО",Препарат для лечения заболеваний сердца. Кардиотонический препарат (исключая сердечные гликозиды). Адрено- и допаминомиметик,С01СА24,DV/X 05355/11/18,20.11.18 31.10.24,,по рецепту,,
20,"АЕВИТ
(Aevit)",comb.drug (retinoli palmitatis; - tocopheroli acetas)*,"Капсулы N10 (1x10), N30 (3x10) (упаковки контурные ячейковые)",Россия,"Алтайвитамины, АО",Витамины,A11JA,DV/X 03608/09/17,22.09.17 14.11.22,,без рецепта,,
21,"АЕВИТ
(Aevit)",comb.drug (retinoli palmitatis; α- tocopheroli acetas)*,"Капсулы N10 (1х10), N20 (2х10), N30 (3х10) (контурные ячейковые упаковки)",Россия,"Мелиген, Фарм.предприятие, ЗАО",Поливитаминное средство,A11JA,DV/X 10439/06/23,08/06/23,,без рецепта,,
22,"АЗАЛЕПТОЛ
(Azaleptol)",clozapine,"Таблетки 25 мг, 100 мг N50 (контейнеры полимерные), N50 (5x10) (блистеры)",Украина,"Технолог, ЧАО",Нейролептик,N05AH02,DV/X 03773/11/17,21.11.17 28.10.22,,по рецепту,,
23,"АЗИМАК
(Azimac)",azithromycin,"Капсулы 250 мг, 500 мг N6 (2x3), N3 (1x3) (блистеры)",Грузия,"GM Pharmaceuticals Ltd, OOO",Антибиотик (гр.макролидов),J01FA10,DV/X 03402/07/17,21.07.17 19.07.22,,по рецепту,,
24,"АЗИМЕД
(Azimed)",azithromycin,"Таблетки, покрытые пленочной оболочкой 500 мг N3 (1x3) (блистеры)",Украина,"Киевмедпрепарат, ПАО",Антибиотик (гр.макролидов),J01FA10,DV/X 01479/03/16,04.03.16 12.02.21,введены изменения: 08.02.24,по рецепту,,
25,"АЗИТРО- SANTO
(Azitro - SANTO)",azithromycin,"Таблетки, покрытые оболочкой 500 мг N3 (1х3) (упаковки контурные ячейковые)",Казахстан,"Химфарм, АО",Антибиотик (гр.макролидов),J01FA10,DV/X 09713/03/22,29/03/22,,по рецепту,,
26,"АЗИТРО- SANTO
(Azitro - SANTO)",azithromycin,Капсулы 250 мг N6 (1x6) (упаковки контурные ячейковые),Казахстан,"Химфарм, АО",Антибиотик (гр.макролидов),J041FA10,DV/X 09715/03/22,29/03/22,,по рецепту,,
27,"АЗИТРОМИЦИН АВЕКСИМА
(Azithromycin)",azithromycin,"Таблетки, покрытые пленочной оболочкой 125 мг, 250 мг, 500 мг N3 (1x3), N6 (2x3) (контурные ячейковые упаковки)",Россия,"Авексима, ОАО произведено: Ирбитский химфармзавод, ОАО",Антибиотик (гр.макролидов),J01FA10,DV/X 10308/12/22,21/12/22,,по рецепту,,
28,"АЗИТРОМИЦИН
(Azithromycinum)",azithromycin,"Таблетки, покрытые оболочкой 500 мг N3 (1х3), N6 (2х3) (упаковки контурные ячейковые)",Беларусь,"Борисовский завод медицинских препаратов, ОАО",Антибиотик (гр.макролидов),J01FA10,DV/X 02843/04/17,11.04.17 04.03.22,введены изменения: 16.06.25,по рецепту,,
29,"АЗИТРОМИЦИН
(Azithromycinum)",azithromycin,"Капсулы 250 мг N6 (1x6), N10 (1x10) (упаковки контурные ячейковые)",Россия,"Дальхимфарм, ОАО",Антибиотик (гр.макролидов),J01FA10,DV/X 01437/03/16,04.03.16 01.03.21,,по рецепту,,
30,"АЙГЛИП
(Ayglip)",vildaglipin,"Таблетки 50 мг N30 (10х3), N60 (10х6) (блистеры)",Украина,"Фармак, АО",Противодиабетическое средство (пероральное),A10BH02,DV/X 09822/04/22,27/04/22,введены изменения: 01.03.25,по рецепту,,
31,"АКАРДИН
(Akardin)",meldonium,"Раствор для инъекций 100 мг/мл по 5 мл N5 (1х5), N10 (2х5) (ампулы)",Украина,"Лекхим-Харьков, ЧАО",Средство для коррекции метаболических процессов,C01EB22,DV/X 09906/06/22,16/06/22,введены изменения: 25.07.25,по рецепту,,
32,"АКВАДЕТРИМ ВИТАМИН Д3
(Akvadetrim vitamin D3)",cholecalciferol,"Капли для приема внутрь 15000 МЕ/мл 10 мл N1, N2 (флакон-капельницы)",Казахстан,"Химфарм, АО",Витамины,A11CC05,DV/X 09439/11/21,30/11/21,,по рецепту,,
33,"АКРИДЕРМ ГК
(Akriderm gK)",betamethasone; gentamicine; clotrimazole,"Крем для наружного применения 0,05%+ 0,1% + 1% 15 г (тубы)",Россия,"Акрихин, АО",Глюкокортикоид,D07AC01,DV/X 01418/02/16,19.02.16 29.12.20,введены изменения: 30.04.25,без рецепта,,
34,"АКРИДЕРМ СК
(Akriderm SK)",betamethasone; salicylic acid*,"Мазь для наружного применения 0,05%+3% 15 г, 30 г (тубы)",Россия,"Акрихин, АО",Глюкокортикоид,D07AC01,DV/X 01473/03/16,04.03.16 12.02.21,введены изменения: 19.07.24,без рецепта,,
35,"АКТИПОЛ®-М
(Aktipol M)",aminibenzoic acid,"Капли глазные 0,007% 5 мл N1 (флаконы-капельницы)",Россия,"Акти-М, НПМП, ООО произведено: Славянская аптека, ООО","Средство, применяемое в офтальмологии",S03D,DV/X 08776/04/21,09/04/21,,по рецепту,,
36,"Албендазол- Лекфарм
(Albendazol- Lekfarm)",albendazole,"Таблетки 200 мг №2 (2х1), 400 мг №1 (1х1) (упаковки контурные ячейковые)",Беларусь,"Лекфарм, СООО",Антигельминтные препараты. Производные бензимидазола,P02CA03,DV/X 11117/10/25,31.10.25,,по рецепту,,
37,"АЛЕР g
(Aler g)",cetirizine,Таблетки 10 мг N20 (1x20) (блистеры),Грузия,"GM Pharmaceuticals Ltd, OOO",Антиаллергическое средство,R06AE07,DV/X 03677/11/17,15.11.17 14.11.22,,без рецепта,,
38,"АЛЕРГОЛИК
(Alergolik)",levocetirizine,"Таблетки, покрытые оболочкой 5 мг N10 (1х10), N30 (3х10) (блистеры)",Украина,"Технолог, ЧАО",Антиаллергическое средство,R06AE09,DV/X 08539/02/21,02/02/21,,без рецепта,,
39,"АЛЛЕРГЕН ТУБЕРКУЛЕЗНЫЙ ОЧИЩЕННЫЙ В СТАНДАРТНОМ РАЗВЕДЕНИИ (ОЧИЩЕННЫЙ ТУБЕРКУЛИН В СТАНДАРТНОМ РАЗВЕДЕНИИ)
(Sil allergeni, tozalangan, standart suyultirilgan (tozalangan standart suyultirilgan tuberkulin))",bacterial allergens,"Раствор для внутрикожного введения 2 ТЕ/0,1 мл 1 мл (10 доза) N1, N10 (ампулы) N5 (туберкулиновые шприцы)",Россия,"Санкт-Петербургский НИИ вакцин и сывороток и предприятие по произ. бактерийных препаратов, Федерального агентства, (ФГУП СПбНИИВС ФМБА России)",Диагностическое средство. Другое диагностическое средство. Тест для диагностики туберкулеза,V04CF01,DV/X 05314/11/18,20.11.18 31.01.25,,по рецепту,,
40,"Аллергостин®
(Allergostin®)",ebastine,"Таблетки, покрытые плёночной оболочкой 10 мг, 20 мг №10 (1х10) (блистеры)",Россия,"Полисан Научно-технологическая фармацевтическая фирма, ООО",Антигистаминные средства системного действия. Другие антигистаминные средства системного действия. Эбастин.,R06AX22,DV/X 11004/07/25,16/07/25,,без рецепта,,
41,"АЛЛОКИН- АЛЬФА
(ALLOKIN-ALFA)",histidyl; glycyl; valyl; seryl; glycyl; histidyl; glycyl; glutaminil; histidyl; glycyl; valyl; histidyl; glycine*,"Лиофилизат для приготовления раствора для подкожного введения 1,0 мг N3, N6 (ампулы)",Россия,"Аллоферон, ООО произведено: НМИЦ Кардиологии, ФГБУ",Противовирусное и иммуномодулирующее средство,"J05AX, L03A",DV/X 02697/02/17,17.02.17 29.03.22,,по рецепту,,
42,"АЛЛОПУРИНОЛ
(Allopurinol)",allopurinol,Таблетки 300 мг N30 (3x10) (упаковки контурные ячейковые),Армения,"Арпимед, ООО",Противоподагрическое средство,М04АА01,DV/X 02452/11/16,18.11.16 23.12.21,,по рецепту,,
43,"АЛЛОПУРИНОЛ
(Allopurinol)",allopurinol,Таблетки 100 мг N50 (5x10) (блистеры),Украина,"Борщаговский ХФЗ, ПАО, НПЦ",Противоподагрическое средство,М04АА01,DV/X 03026/05/17,19.05.17 19.07.22,,по рецепту,,
44,"АЛЛОХОЛ
(Alloxol)","bile dry, garlic powder, nettle leaves, coal","Таблетки, покрытые оболочкой N10, N10 (1x10), N50 (5x10) (упаковки контурные ячейковые)",Беларусь,"Белмедпрепараты, РУП",Желчегонное средство,А05АХ,DV/X 03684/11/17,15.11.17 13.05.24,,без рецепта,,
45,"АЛЛОХОЛ
(Alloxol)",comb.drug (activated carbon; bile; stinging nettle leaves; dried garlic bulbs)*,"Таблетки, покрытые оболочкой N50 (5х10) (упаковки контурные ячейковые)",Россия,"Биосинтез, ПАО",Желчегонное средство,A05AX,DV/X 04061/02/18,20.02.18 08.06.23,,по рецепту,,
46,"АЛЛОХОЛ
(Alloxol)",comb.drug (bile dry; garlic powder; nettle leaves; activated carbon)*,"Таблетки, покрытые пленочной оболочкой N50 (блистеры)",Украина,"Борщаговский ХФЗ, ПАО, НПЦ",Желчегонное средство,A05AX,DV/X 01350/02/16,05.02.16 01.03.21,,по рецепту,,
47,"АЛЛОХОЛ
(Alloxol)",comb.drug (bile cattle dry; garlic dried; coal activated; Nettle leaves)*,"Таблетки, покрытые оболочкой N20 (2х10), N30 (3х10), N40 (4х10), N50 (5x10) (упаковки контурные ячейковые)",Россия,"Ирбитский химфармзавод, АО",Желчегонное средство,А05АХ,DV/X 03315/07/17,07.07.17 21.12.22,введены изменения: 31.10.25,по рецепту,,
48,"АЛОЭ ЭКСТРАКТ ЖИДКИЙ
(Extractum Aloes fluidum)",aloes*,"Раствор для инъекций 1,6 мкг [О2]/мл 1 мл N10 (ампулы)",Грузия,"Биофарм, АО",Биогенный стимулятор,А13А,DV/X 03325/07/17,07.07.17 25.05.22,,по рецепту,,
49,"АЛОЭ ЭКСТРАКТ ЖИДКИЙ
(Extractum Aloes fluidum)",aloes*,Раствор для инъекций 1 мл N10 (ампулы),Армения,"Ереванская химико-фармацевтическая фирма, ОАО",Биогенный стимулятор,A16AX10,DV/X 10262/11/22,30/11/22,,по рецепту,,
50,"АЛТЕЙКА АРТЕРИУМ
(Alteyka arterium)",althaeae officinalis*,Сироп 200 мл (флаконы),Украина,"Галичфарм, ПАО","Средство, применяемое при кашле и простудных заболеваниях. Отхаркивающее средство",R05CА05,DV/X 05493/12/18,07.12.18 31.10.24,,без рецепта,,
51,"АЛТЕЯ СИРОП
(Alteya sirop)",althaea officinalis*,Сироп 125 г (флаконы),Россия,"Синтез, ПАО","Дыхательная система; противокашлевый препарат и средство для лечения простудных заболеваний; отхаркивающий препарат, кроме комбинаций с противокашлевыми средствами; отхаркивающий препарат",S01XA,DV/X 04415/05/18,25.05.18 31.10.24,,без рецепта,,
52,"АЛЬБУВЕН
(Albuven)",аlbumin*,Раствор для инфузий 10% 100 мл №1 (флаконы),Украина,"Биофарма Плазма, ООО",Кровь и препараты крови. Кровезаменители и препараты плазмы крови. Альбумин.,В05АA01,DV/X 00535/06/15,26/06/15 27.08.25,,по рецепту,,
53,"АЛЬБУВЕН
(Albuven)",albumin*,"Раствор для инфузий 20% 50 мл, 100 мл N1 (флаконы)",Украина,"Биофарма Плазма,ООО",Кровь и родственный препарат. Кровезаменитель и белковая фракция плазмы крови. Альбумин,В05А A01,DV/X 07164/12/19,13.12.19 28.03.25,,по рецепту,,
54,"АЛЬБУМИН
(Albumin)",albumin human,Раствор для инфузий 10% -100 мл N1 (флаконы),Россия,"Микроген, НПО, АО произведено: Микроген, НПО, АО филиал г.Томск",Плазмозаменитель,B05AA01,DV/X 09874/05/22,25/05/22,,по рецепту,,
55,"АЛЬГАВАК® М (ВАКЦИНА ДЛЯ ПРОФИЛАКТИКИ ВИРУСНОГО ГЕПАТИТА А)
(Algavak® M)",hepatitis A vaccine*,"Суспензия для внутримышечного введения (1 взрослая доза) 1мл ампулы N10 (10x1). Суспензия для внутримышечного введения (1 детская доза) 0,5 мл ампулы N10 (10x1)",Россия,"Вектор - БиАльгам, АО",Вакцина (против гепатита А),J07BC02,DV/X 04327/05/18,11.05.18 27.08.24,,по рецепту,,
56,"АЛЬТАБОР
(Altabor)",comb.drug (alnus incana (L) moench; alnus glutinosa (L) gaerth; betulaceae)*,Таблетки 20 мг N20 (2x10) (блистеры),Украина,"Борщаговский ХФЗ, ПАО, НПЦ",Противовирусное средство,J05AX,DV/X 02396/11/16,04.11.16 15.06.21,,без рецепта,,
57,"Альфахолин
(Alfaxolin)",сholine alfоscerate,"Раствор для внутривенного и внутримышечного введения 1000 мг/4 мл №5 (1x5), №10 (2x5) (ампулы)",Беларусь,"Лекфарм, СООО",Нервная система. Другие препараты для лечения заболеваний нервной системы. Парасимпатомиметики. Другие парасимпатомиметики. Холина альфосцерат.,N07AX02,DV/X 06454/07/19,04/07/19 19.09.25,введены изменения: 28.11.25,по рецепту,,
58,"АЛЬЦМЕРАТ
(Alсmerat)",choline alfoscerate,"Раствор для инъекций 250 мг/мл 4 мл N5 (5х1), N10 (5х2) (ампулы)",Украина,"Лекхим-Харьков, ЧАО",Ноотроп,N07AX02,DV/X 08501/12/20,29/12/20,,по рецепту,,
59,"АМАНТИН
(Amantin)",amantadine,"Таблетки, покрытые пленочной оболочкой 100 мг N30 (3x10) (блистеры)",Украина,"Асино Украина, ООО, Украина произведено: Фарма Старт, ООО",Противопаркинсонический препарат. Дофаминергический препарат. Производный адамантана. Амантадин,N04ВВ01,DV/X 04388/05/18,25.05.18 20.12.24,,по рецепту,,
60,"АМБЕНЕ® БИО
(AMBENE BIO)",extract concentrated from small marine fish*,"Раствор для инъекций 1 мл, 2 мл N5 (5х1), N10 (2х5) (ампулы)",Россия,"Промомед Рус, ООО произведено: Биохимик, АО",Стимулятор трофики тканей и регенерации,M09AX,DV/X 09905/06/22,16/06/22,введены изменения: 14.07.23,по рецепту,,
61,"АМБРО
(Ambro)",ambroxol,Таблетки 30 мг N20 (2х10) (упаковки контурные ячейковые),Казахстан,"Химфарм, АО",Отхаркивающее средство,R05CB06,DV/X 01736/05/16,20.05.16 25.05.21,введены изменения: 18.04.23,без рецепта,,
62,"АМБРО
(Ambro)",ambroxol,"Сироп 15 мг/5 мл, 30 мг/5 мл 100 мл (флаконы в комплекте с мерной ложкой)",Казахстан,"Химфарм, АО",Отхаркивающее средство,R05CB06,DV/X 09144/07/21,16/07/21,введены изменения: 16.09.24,без рецепта,,
63,"АМБРО
(Ambro)",ambroxol,"Раствор для инъекций 15 мг/2 мл 2 мл N5 (1x5), N10 (2x5) (ампулы)",Казахстан,"Химфарм, АО",Отхаркивающее средство,R05CB06,DV/X 05387/11/18,27.11.18 19.07.24,,по рецепту,,
64,"АМБРО
(Ambro)",ambroxol,"Раствор для приема внутрь и ингаляций 7,5 мг/мл 100 мл N1 (флаконы)",Казахстан,"Химфарм, АО",Отхаркивающее средство,R05CB06,DV/X 09199/08/21,04/08/21,введены изменения: 08.06.23,по рецепту,,
65,"АМБРОКСОЛ АВЕКСИМА
(Ambroksol Aveksima)",ambroxol,"Таблетки 30 мг N20 (2х10), N30 (3х10), N50 (5х10) (упаковки контурные ячейковые)",Россия,"Авексима, ОАО произведено: Ирбитский химфармзавод, ОАО",Отхаркивающее средство,R05CB06,DV/X 09706/03/22,29/03/22,,без рецепта,,
66,"АМБРОКСОЛ
(Ambroksol)",ambroxol,"Таблетки 30 мг N10 (1x10), N20 (2х10), N20 (2x10), N40 (2x20) (упаковки контурные ячейковые)",Россия,"Атолл, ООО Россия, произведено: Озон, ООО",Дыхательная система. Противокашлевые препараты и средства для лечения простудных заболеваний. Муколитические препараты.,R05CB06,DV/X 00127/03/15,13.03.15 27.08.25,,без рецепта,,
67,"Амброксол
(Ambroksol)",ambroxol,Таблетки 30 мг N20 (1x20) (упаковки контурные ячейковые),Россия,"Озон, ООО",Дыхательная система. Противокашлевые препараты и средства для лечения простудных заболеваний. Муколитические препараты,R05CB06,DV/X 10988/07/25,01/07/25,,без рецепта,,
68,"АМБРОКСОЛ
(AMBROKSOL)",ambroxol,"Раствор для инфузий 15 мг/2 мл 2 мл №5 (1х5), №10 (2х5) (ампулы)",Украина,"Лекхим-Харьков, ЧАО",Отхаркивающее средство,R05CB06,DV/X 07006/11/19,01.11.19 30.05.25,введены изменения: 25.07.25,по рецепту,,
69,"АМБРОКСОЛ
(Ambroxol)",ambroxol,Таблетки 30 мг N20 (2х10) (упаковки контурные ячейковые),Беларусь,"Борисовский завод медицинских препаратов, ОАО",Отхаркивающее средство,R05CB06,DV/X 01258/01/16,15.01.16 01.03.21,введены изменения: 19.04.25,без рецепта,,
70,"АМБРОКСОЛ
(Ambroxolum)",ambroxol,Таблетки 30 мг N20 (2х10) (блистеры),Украина,"Укрфармэкспорт, ООО произведено: Здоровье, ФК, ООО",Отхаркивающее средство,R05CB06,DV/X 02795/03/17,24.03.17 04.03.22,введены изменения: 28.08.23,без рецепта,,
71,"АМБРОКСОЛ-ВИШФА
(Ambroxolum)",ambroxol,"Сироп 15 мг/5 мл 100 мл (банки, флаконы с дозирующим стаканчиком)",Украина,"Фармацевтическая фабрика, ДКП, ООО",Отхаркивающее средство,R05CB06,DV/X 03602/09/17,22.09.17 20.09.22,,без рецепта,,
72,"Амброксол-Лекфарм
(Ambroksol-Lekfarm)",ambroxol,Таблетки 30 мг N20 (2x10) (упаковки контурные ячейковые),Беларусь,"Лекфарм, СООО",Дыхательная система. Противокашлевые препараты и средства для лечения простудных заболеваний. Муколитические препараты.,R05CB06,DV/X 10986/07/25,01/07/25,,без рецепта,,
73,"АМЕЛОТЕКС®
(Ameloteks)",meloxicam,"Раствор для внутримышечного введения 10 мг/мл 1,5 мл N3 (1х3), N5 (1х5), N10 (2х5) (ампулы)",Россия,"Сотекс ФармФирма, ЗАО",Противовоспалительный и противоревматический препарат; нестероидный противовоспалительный и противоревматический препарат; оксикам,М01АС06,DV/X 06582/07/19,23.07.19 19.04.25,,по рецепту,,
74,"АМЕЛОТЕКС®
(Amelotex)",meloxicam,Гель для наружного применения 1% 50 г (тубы),Россия,"Сотекс ФармФирма, ЗАО произведено: Озон, ООО",Нестероидное противовоспалительное средство,M02AA,DV/X 01728/05/16,20.05.16 15.06.21,,без рецепта,,
75,"АМИЗОЛИД
(Amizolid)",linezolid,"Раствор для инфузий 2 мг/мл 100 мл, 200 мл, 300 мл (флаконы)",Россия,"Ист-Фарм, ООО",Антибиотик (гр.оксазолидинонов),J01XX08,DV/X 08684/03/21,01/03/21,,по рецепту,,
76,"АМИЗОЛИД
(Amizolid)",linezolid,"Таблетки, покрытые пленочной оболочкой 200 мг, 400 мг, 600 мг N10 (1х10), N20 (2х10), N30 (3х10), N50 (5х10), N60 (6х10), N100 (10х10) (упаковки контурные ячейковые ); N10, N14, N20, N24, N30, N50, N100 (банки)",Россия,"Фармасинтез, АО",Антибактериальное синтетическое средство (гр.оксазолидинонов),J01XX08,DV/X 01608/04/16,15.04.16 25.05.21,,по рецепту,,
77,"АМИЗОН® МАКС
(Amizon Max)",enisamium iodide,"Капсулы 0,5 г N10 (1х10), N20 (2х10) (блистеры)",Украина,"Фармак, АО",Противовирусное средство,J05AX17,DV/X 04262/04/18,11.04.18 28.07.23,,без рецепта,,
78,"АМИЗОН®
(Amizon®)",enisamium iodide,"Таблетки, покрытые оболочкой 0,125 г N20 (2x10), 0,25 г N20 (1x20), N40 (2x20) (блистеры)",Украина,"Фармак, АО",Противовирусное средство,J05A Х17,DV/X 05902/03/19,12.03.19 19.07.24,,без рецепта,,
79,"АМИЗОНЧИК®
(Amizonchik)",enisamium iodide,Сироп 10 мг/мл 100 мл (флаконы в комлекте с мерной ложкой),Украина,"Фармак, АО",Противовирусное средство,J05AX,DV/X 03852/12/17,05.12.17 28.10.22,,без рецепта,,
80,"АМИКАЦИН
(Amikacinum)",amikacin,Порошок для приготовления раствора для внутривенного и внутримышечного введения 500 мг N50 (флаконы),Россия,"Синтез, ПАО",Антибиотик (гр.аминогликозидов),J01GB06,DV/X 02442/11/16,18.11.16 05.11.21,введены изменения: 24.11.23,по рецепту,,
81,"АМИКАЦИНА сульфат
(AMIKATSIN sulfati)",amikacin,"Раствор для инъекций 250 мг/мл 2 мл, 4 мл N1 (ампулы)",Украина,"Лекхим-Харьков, ЧАО",Противомикробные препараты системного действия. Антибактериальные препараты системного действия. Аминогликозиды. Другие аминогликозиды. Амикацин.,J01GB06,DV/X 05189/10/18,27.10.18 15.10.25,,по рецепту,,
82,"АМИНАЗИН®
(Aminazin)",chlorpromazine,"Таблетки, покрытые пленочной оболочкой 25 мг, 50 мг, 100 мг N10 (1х10) (упаковки контурные ячейковые)",Россия,"Валента Фарм, АО",Нейролептик,N05AA01,DV/X 02230/10/16,04.10.16 15.06.21,,по рецепту,,
83,"АМИНАЛОН
(Aminalon)",acidum gamma - aminobutyric*,"Таблетки, покрытые оболочкой 250 мг N50 (5x10) (упаковки контурные ячейковые)",Беларусь,"Борисовский завод медицинских препаратов, ОАО",Ноотропное средство,N06BX,DV/X 03114/06/17,06.06.17 25.05.22,,по рецепту,,
84,"АМИНОЛ
(Aminol)",alanine; arginine; valine; histidine; glycine; isoleucine; leucine; lysine; methionine; proline; threonine; tryptophan; phenylalanine,"Раствор для инфузий 200 мл, 400 мл (бутылки)",Украина,"Юрия-Фарм, ООО",Кровь и система кроветворения. Кровезаменители и перфузионные растворы. Растворы для внутривенного введения. Растворы для парентерального питания. Аминокислоты,В05ВА01,DV/X 07119/11/19,22.11.19 28.11.25,,по рецепту,,
