№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,,
1209,"ДЮФАЛАК®
(Dyufalak)",lactulose,"Сироп 667 мг/мл 200 мл, 500 мл, 1000 мл N1 (флаконы), 15 мл N10 (стики)",Нидерланды,"Abbott Laboratories GmbH, Швейцария произведено: Abbott Biologicals B.V.",Слабительное средство,А06AD11,DV/X 02568/01/17,13.01.17 04.03.22,введены изменения: 28.07.23,по рецепту,,,
1210,"ДЮФАСТОН®
(Dyufaston)",dydrogesterone,"Таблетки, покрытые плёночной оболочкой 10 мг N14 (1х14); N20 (1x20) (блистеры)",Нидерланды,"Abbott Laboratories GmbH, Швейцария произведено: Abbott Biologicals B.V.",Гормональное средство,G03DB01,DV/X 02079/08/16,19.08.16 18.08.21,введены изменения: 16.08.22,по рецепту,,,
1372,"ИНФЛЮВАК® ТЕТРА
(Inflyuvak®Tetra)",вакцина для профилактики гриппа [инактивированная],Суспензия для внутримышечного и подкожного введения 0.5 мл N1 (предварительно заполненные шприцы),Нидерланды,"Abbott Laboratories GmbH, Швейцария произведено: Abbott Biologicals B.V.",Вакцина,J07BB02,DV/X 06527/07/19,23.07.19 27.08.24,,по рецепту,,,
3552,"ФЕМОСТОН® 1/10, 2/10
(Femoston 1/10, 2/10)",comb.drug (estradiol; dydrohesterone*),"Таблетки, покрытые плёночной оболочкой N28 (14+14) (блистеры)",Нидерланды,"Abbott Laboratories GmbH, Швейцария произведено: Abbott Biologicals B.V.",Эстроген и его синтетический аналог,G03FB08,DV/X 02244/10/16,04.10.16 04.08.21,введены изменения: 16.08.22,по рецепту,,,
3553,"ФЕМОСТОН® 1/5 КОНТИ
(Femoston 1/5 Konti)",comb.drug (estradiol; dydrohesterone*),"Таблетки, покрытые плёночной оболочкой N28 (1x28) (блистеры)",Нидерланды,"Abbott Laboratories GmbH, Швейцария произведено: Abbott Biologicals B.V.",Эстроген и его синтетический аналог,G03FА14,DV/X 02245/10/16,04.10.16 18.08.21,введены изменения: 16.08.22,по рецепту,,,
669,"БРУФЕН®
(Brufen)",ibuprofen,Сироп 100 мг/5 мл (флаконы в комплекте с мерным шприцем или мерной ложкой),Италия,"Abbott Laboratories GmbH, Швейцария произведено: Abbvie S.r.l.",Нестероидное противовоспалительное средство,M01AE01,DV/X 09684/03/22,04/03/22,введены изменения: 16.08.22,без рецепта,,,
1583,"КЛАЦИД® CP
(Klatsid SR)",clarithromycin,"Таблетки, покрытые оболочкой пролонгированного действия 500 мг N5 (1х5); N14 (2х7) (блистеры)",Италия,"Abbott Laboratories GmbH, Швейцария произведено: Abbvie S.r.l.",Антибиотик (гр.макролидов),J01FA09,DV/X 02523/12/16,20.12.16 04.03.22,введены изменения: 16.08.22,по рецепту,,,
906,"ГЕПТРАЛ®
(Geptral)",ademetionine,"Таблетки, покрытые кишечнорастворимой оболочкой 500 мг N20 (2х10) (блистеры)",Италия,"Abbott Laboratories GmbH, Швейцария произведено: Abbvie SRL","Прочее средство, влияющее на пищеварительную систему и метаболизм (гепатопротектор)",A16AA02,DV/X 04435/05/18,30.05.18 22.06.23,,по рецепту,,,
1181,"ДРИПТАН®
(Driptan)",oxybutynin,"Таблетки 5 мг N30 (1x30), (2x15) (блистеры)",Франция,"Abbott Laboratories GmbH, Швейцария произведено: Astrea Fontaine",Антибиотик (гр.макролидов),J01FA09,DV/X 01800/06/16,07.06.16 16.07.21,введены изменения: 30.09.24,по рецепту,,,
3397,"ТРАЙКОР®
(Traykor)",fenofibrate,"Таблетки, покрытые плёночной оболочкой 145 мг N30 (3x10) (блистеры)",Франция,"Abbott Laboratories GmbH, Швейцария произведено: Astrea Fontaine",Гиполипидемическое средство,С10АВ05,DV/X 01977/07/16,22/07/16 04/08/21,введены изменения: 27.08.25,по рецепту,,,
905,"ГЕПТРАЛ®
(Geptral)",ademetionine,Порошок лиофилизированный для приготовления раствора для инъекций 400 мг N5 (флаконы) в комплекте с растворителем 5 мл N5 (ампулы),Франция,"Abbott Laboratories GmbH, Швейцария произведено: Delpharm Sain Remy",Другой препарат для лечения заболеваний желудочно-кишечного тракта и нарушений обмена веществ. Аминокислоты и их производные,А16АА02,DV/X 10783/11/24,18/11/24,,по рецепту,,,
570,"БЕТАСЕРК® 8; 16
(Betaserk)",betahistine,"Таблетки 8 мг, 16 мг N30 (2x15); N30 (1x30) (блистеры)",Франция,"Abbott Laboratories GmbH, Швейцария произведено: Mylan Laboratories SAS",Средство против синдрома укачивания,N07CA01,DV/X 02242/10/16,04.10.16 05.11.21,введены изменения: 16.08.22,по рецепту,,,
571,"БЕТАСЕРК®
(Betaserk)",betahistine,"Таблетки 24 мг N20 (1x20), N60 (3x20) (блистеры)",Франция,"Abbott Laboratories GmbH, Швейцария произведено: Mylan Laboratories SAS",Средство против синдрома укачивания,N07CA01,DV/X 02243/10/16,04.10.16 05.11.21,введены изменения: 16.08.22,по рецепту,,,
1207,"ДЮСПАТАЛИН®
(Dyuspatalin)",mebeverine,Капсулы пролонгированного действия 200 мг N30 (2x15) (блистеры),Франция,"Abbott Laboratories GmbH, Швейцария произведено: Mylan Laboratories SAS",Спазмолитическое средство,A03AA04,DV/X 02317/10/16,21.10.16 05.11.21,введены изменения: 08.02.24,по рецепту,,,
3538,"ФЕВАРИН®
(Fevarin)",fluvoxamine,"Таблетки, покрытые плёночной оболочкой 50 мг, 100 мг N15 (1x15) (блистеры)",Франция,"Abbott Laboratories GmbH, Швейцария произведено: Mylan Laboratories SAS",Антидепрессант,N06AB08,DV/X 02315/10/16,21.10.16 05.11.21,введены изменения: 20.12.24,по рецепту,,,
3608,"ФИЗИОТЕНЗ®
(Fiziotenz)",moxonidine,"Таблетки, покрытые плёночной оболочкой 0,2 мг; 0,4 мг N14 (1x14) N28 (2x14) (блистеры)",Франция,"Abbott Laboratories GmbH, Швейцария произведено: Mylan Laboratories SAS",Антигипертензивное средство,С02АС05,DV/X 02318/10/16,21.10.16 30.11.21,введены изменения: 16.09.24,по рецепту,,,
904,"ГЕПТРАЛ®
((Geptral))",ademetionine,Порошок лиофилизированный для приготовления раствора для инъекций 500 мг №5 (1x5) (флаконы) в комплекте с растворителем L-лизин 5 мл №5 (1x5) (ампулы),Италия,"Abbott Laboratories GmbH, Швейцария, Biologici Italia Laboratories S.R.L., Италия","Средства, влияющие на систему пищеварения и процессы метаболизма",А16АА02,DV/X 07064/11/19,16/06/25,,по рецепту,,,
2498,"ОМАКОР®
(OMAKOR)",omega-3-acid ethyl esters*,Капсулы №28 (1x28) (флаконы),Нидерланды,"Abbott Laboratories GmbH, Швейцария, балк-производитель: Patheon Softgels B.V., Нидерландия; упаковщик: GMPack ApS, Дания; выпускающий контрол качества: Abbott Laboratories GmbH, Германия","Мочеполовая система и половые гормоны. Противомикробные препараты и антисептики, применяемые в гинекологии. Производные имидазола. Фентиконазол.",C10AX06,DV/X 06942/10/19,10.10.19 30.09.25,,по рецепту,,,
3554,"ФЕМОСТОН® MONO
(Femoston mono)",estradiol,"Таблетки, покрытые пленочной оболочкой 1 мг, 2 мг N28 (1х28) (блистеры)",Нидерланды,"Abbott Laboratories Limited, Великобритания произведено: Abbott Biologicals B.V.",Пероральное контрацептивное средство,G03CA03,DV/X 08511/12/20,29/12/20,,по рецепту,,,
3204,"СУРВАНТА
(Survanta)",beractant*,Суспензия для эндотрахеального введения 25 мг/мл 4 мл (флаконы),США,"AbbVie Biophamaceuticals GmbH, Швейцария произведено: AbbVie Inc",Другой препарат для лечения заболеваний органов дыхания. Легочный сурфактант. Комбинированный препарат,R07AA02,DV/X 06615/08/19,13.08.19 01.03.25,,по рецепту,,,
793,"ВИСТАБЕЛ
(Vistabel)",clostridium botulinum toxin type A,Порошок для приготовления раствора для инъекций 100 ЕД 10 мл N1 (флаконы),Ирландия,"AbbVie Limited, Ирландия произведено: Allergan Pharmaceuticals Ireland Unlimited Company",Миорелаксант. Миорелаксант периферического действия,M03AX01,DV/X/TO 10557/08/23,11/08/23,,по рецепту,,,
1333,"ИНГАВИРИН®
(Ingavirin)",imidazolylethanamide pentandioic acid*,Сироп 30 мг/5 мл 90 мл N1 (флаконы с мерным шприцем),Италия,"ABC Farmaceutici S.p.A, Италия, упаковщик Валента Фарм, АО Россия",Противовирусное средство,J05AX,DV/X 09311/09/21,10/09/21,,без рецепта,,,
3706,"ФУАРТЕ НЕО
(FUARTE NEO)",deferasirox,"Таблетки, покрытые пленочной оболочкой 90 мг, 180 мг, 360 мг №30 (3х10), №90 (9х10) (блистеры)",Турция,"Abdi Farma GmbH, Германия произведено: Abdi Ibrahim Ilaç San. ve Tic. A.Ş.","Агент, образующий комплексное соединение железа",V03AC03,DV/X/TO 10531/07/23,21.07.23,введены изменения: 15.10.25,по рецепту,,,
1912,"ЛИФТА
(LIFTA)",tadalafil,"Таблетки, покрытые плёночной оболочкой 20 мг №4 (1х4) (блистеры)",Турция,"Abdi Farma GmbH, Германия, произведено: Abdi Ibrahim Ilaç San. ve Tic. A.Ş.","Препарат, используемый при эректильной дисфункции",G04BE08,DV/X/TO 10654/05/24,24.05.24,введены изменения: 15.10.25,по рецепту,,,
3251,"Танфлекс
(Tanflex)",benzydamine,"Спрей оромукозный 0,1 5% 30 мл (флаконы)",Турция,"Abdi Farma GmbH, Германия, произведено: Abdi Ibrahim Ilaç San. ve Tic. A.Ş.",Противовоспалительное и противоревматическое средство,M01AX07,DV/X/TO 10533/07/23,21.07.23,введены изменения: 15.10.25,по рецепту,,,
4053,"ЭТОЛИН
(Etolin)",etodolac,"Таблетки, покрытые пленочной оболочкой с пролонгированным высвобождением 600 мг N30 (3х10) (блистеры)",Турция,"Abdi Farma Unipessoal Lda., Португалия произведено: Abdi Ibrahim Ilac San. Ve Tic. A.Ş.",Противoвоспалительное и противоревматическое средство,М01АВ08,DV/X/TO 10530/07/23,21/07/23,,по рецепту,,,
1039,"ДЕМАКС
(DEMAX)",memantine,"Таблетки, покрытые оболочкой 10 мг, 20 мг №28 (2х14) (блистеры)",Турция,"Abdi Farma Unipessoal Lda., Португалия произведено: Abdi Ibrahim Ilaç San. ve Tic. A.Ş.",Препарат для лечения деменции,N06DX01,DV/X/TO 10532/07/23,21.07.23,введены изменения: 15.10.25,по рецепту,,,
687,"Вазосерк
(Vazoserk)",betahistine Dihydrochloride,"Таблетки 8 мг №30 (3х10), 16 мг №30 (2х15), 24 мг №30 (2х15) (блистеры)",Турция,Abdi Ibrahim Ilac San. Ve Tic. A.S.,Нервная система. Другие препараты для лечения заболеваний нервной системы. Препараты для устранения головокружения. Бетагистин.,N07CA01,DV/X 07387/01/20,17.01.20 28.11.25,,по рецепту,,,
2276,"Напроцин Плюс
(Naprosın Plyus)",naproxen; lidocain,Гель 10 % + 5% 50 г (тубы),Турция,Abdi Ibrahim Ilac San. Ve Tic. A.S.,Костно-мышечная система. Препараты для местного применения при мышечных и суставных болях. Другие препараты для местного применения при мышечных и суставных болях.,M02АХ,DV/X 07551/03/20,20.03.20 28.11.25,,по рецепту,,,
3342,"Тиофлекс Форт
(Tiofleks Fort)",thiocolchicoside,Капсулы 8 мг №10 (1х10) (блистеры),Турция,Abdi Ibrahim Ilac San. Ve Tic. A.S.,Костно-мышечная система. Миорелаксанты. Миорелаксанты центрального действия. Другие миорелаксанты центрального действия,M03BX05,DV/X 07552/03/20,20.03.20 28.11.25,,по рецепту,,,
3877,"Цитолес
(Sitoles)",escitalopram oxalate,"Таблетки, покрытые пленочной оболочкой 10 мг, 20 мг № 28 (1х28) (блистеры)",Турция,Abdi Ibrahim Ilac San. Ve Tic. A.S.,Нервная система. Психоаналептики. Антидепрессанты. Селективные ингибиторы обратного захвата серотонина. Эсциталопрам,N06AB10,DV/X 07386/01/20,17.01.20 28.11.25,,по рецепту,,,
492,"АТТЕКС
(ATTEKS)",atomoxetine,"Капсулы 10 мг, 18 мг, 25 мг, 40 мг, 60 мг, 80 мг, 100 мг №28 (1x28) (блистеры)",Турция,Abdi İbrahim İlaç San. ve Tic. A.S.,Нервная система. Психоаналептики. Симпатомиметики центрального действия,N06BA09,DV/X 11134/11/25,28.11.25,,по рецепту,,,
113,"АБЕТИЛ
(ABETIL)",abiraterone,Таблетки 250 мг №120 (12x10) (блистеры),Турция,Abdi İbrahim İlaç San. ve Tic. A.Ş.,Противоопухолевые препараты и иммуномодуляторы. Противоопухолевые гормональные препараты. Другие антагонисты гормонов и родственные соединения. Абиратерон,L02BX03,DV/X 11061/09/25,19.09.25,,по рецепту,,,
834,"ГАБАЛИС
(GABALIS)",pregabalin,"Капсулы 75 мг, 150 мг №28 (14x2) (блистеры)",Турция,Abdi İbrahim İlaç San. ve Tic. A.Ş.,Препараты для лечения заболеваний нервной системы. Противоэпилептические препараты. Прочие противоэпилептические препараты. Прегабалин.,N03AX16,DV/X 07670/03/20,31.03.20 15.10.25,,по рецепту,,,
1529,"КВАНТАВИР
(Kvantavir)",entecavir,"Таблетки, покрытые пленочной оболочкой 0,5 мг, 1,0 мг N30 (3х10), N90 (9х10) (блистеры)",Турция,Abdi İbrahim İlaç San. ve Tic. A.Ş.,Противовирусное средство,J05AF10,DV/X 02678/02/17,17.02.17 14.10.22,,по рецепту,,,
2024,"МАЦИТРИН
(MATSITRIN)",macitentan,Таблетки покрытые пленочной оболочкой 10 мг №28 (2x14) (блистеры),Турция,Abdi İbrahim İlaç San. ve Tic. A.Ş.,Сердечно-сосудистая система. Антигипертензивные средства. Антигипертензивные средства при легочной артериальной гипертензии. Мацитентан,C02KX04,DV/X 11062/09/25,19.09.25,,по рецепту,,,
2807,"Рексапин
(Reksapin)",olanzapine,"Таблетки, покрытые пленочной оболочкой 5 мг №28 (2х14), 10 мг №28 (4х7) (блистеры)",Турция,Abdi İbrahim İlaç San. ve Tic. A.Ş.,"Нервная система. Психотропные средства. Диазепины, оксазепины, тиазепины и оксепины. Оланзапин.",N05AH03,DV/X 11046/08/25,27.08.25,,по рецепту,,,
2850,"РИВОКСАР
(RIVOKSAR)",rivaroxaban,"Таблетки, покрытые плёночной оболочкой 10 мг № 10 (1х10), 15 мг № 28 (2х14), 20 мг № 28 (2х14) (блистеры)",Турция,Abdi İbrahim İlaç San. ve Tic. A.Ş.,Антитромботические средства. Прямые ингибиторы фактора Xa,B01AF01,DV/X 10987/07/25,01/07/25,,по рецепту,,,
3335,"ТИЛАНТА
(TILANTA)",ticagrelor,"Таблетки, покрытые пленочной оболочкой 90 мг N56 (4x14) (блистеры)",Турция,Abdi İbrahim İlaç San. ve Tic. A.Ş.,Кровь и система кроветворения. Антитромботические средства. Антиагреганты кроме гепарина.,B01AC24,DV/X 11114/10/25,31.10.25,,по рецепту,,,
3995,"Эпикс
(Epiks)",levetiracetam,"Таблетки, покрытые пленочной оболочкой 250 мг, 500 мг, 1000 мг №50 (5x10) (блистеры)",Турция,Abdi İbrahim İlaç San. ve Tic. A.Ş.,Нервная система. Противоэпилептические препараты. Другие противоэпилептические препараты. Леветирацетам.,N03AX14,DV/X 11109/10/25,31.10.25,,по рецепту,,,
395,"АНАСТРОЗОЛ
(Anastrozol)",anastrozole,"Таблетки, покрытые пленочной оболочкой 1 мг N28 (2х14) (блистеры)",Великобритания,"Accord Healthcare Irl Ltd, Ирландия произведено: Accord Healthcare Limited",Противоопухолевое средство,L02BG03,DV/X/TO 08590/02/21,02/02/21,,по рецепту,,,
883,"ГЕМЦИТАБИН
(Gemsitabin/Gemcitabine)",gemcitabine,"Концентрат для приготовления раствора для инфузий 100 мг/мл; 200 мг/2 мл 2 мл, 1000 мг/10 мл 10 мл N1 (флаконы)",Великобритания,"Accord Healthcare Irl Ltd, Ирландия произведено: Accord Healthcare Limited",Противоопухолевое средство,L01BC05,DV/X 09091/06/21,15/06/21,,по рецепту,,,
1142,"ДОКСОРУБИЦИН
(Doxorubitsin/Doxorubicin)",doxorubicin,"Концентрат для приготовления раствора для инфузий 2 мг/мл; 10 мг/5 мл 5 мл, 50 мг/25 мл 25 мл, 200 мг/100 мл 100 мл N1, N5 (флаконы)",Великобритания,"Accord Healthcare Irl Ltd, Ирландия произведено: Accord Healthcare Limited",Противоопухолевое средство,L01DB01,DV/X/TO 09283/08/21,25/08/21,,по рецепту,,,
3868,"ЦИТАРАБИН
(Sitarabin/Cytarabine)",cytarabine,"Раствор для инъекций или инфузий 100 мг/мл; 100 мг/1 мл 1 мл, 500 мг/5 мл 5 мл, 1 г/10 мл 10 мл, 2 г/20 мл 20 мл N1, N5 (флаконы)",Великобритания,"Accord Healthcare Irl Ltd, Ирландия произведено: Accord Healthcare Limited",Противоопухолевое средство,L01BC01,DV/X 09086/06/21,15/06/21,,по рецепту,,,
1275,"ЗОЛЕНДРОНОВАЯ КИСЛОТА АККОРД
(Zolendronic acid Accord)",zolendronic acid,Концентрат для приготовления раствора для инфузий 4 мг/5 мл 5 мл N1 (флаконы),Великобритания,"Accord Healthcare Irl Ltd, Испания произведено: Accord Healthcare Limited",Ингибитор костной резорбции,M05BA08,DV/X/TO 09588/12/21,23/12/21,,по рецепту,,,
1295,"ИБАНДРОНОВАЯ КИСЛОТА АККОРД
(Ibandronic acid Accord)",ibandronic acid,Раствор для инъекций 3 мг/3 мл 3 мл N1 (предварительно заполненные шприцы в комплекте с иглой),Великобритания,"Accord Healthcare Irl Ltd, Испания произведено: Accord Healthcare Limited",Ингибитор костной резорбции,M05BA06,DV/X/TO 09589/12/21,23/12/21,,по рецепту,,,
1175,"ДОЦЕТАКСЕЛ АККОРД
(Dotsetaksel Akkord)",docetaxel,"Концентрат для приготовления раствора для инфузий 20 мг/мл; 20 мг/1 мл 1 мл, 80 мг/4 мл 4 мл, 160 мг/8 мл 8 мл N1 (флаконы)",Великобритания,Accord Healthcare Limited,Противоопухолевое средство,L01CD02,DV/X/TO 09587/12/21,23/12/21,введены изменения: 30.11.22,по рецепту,,,
1243,"ЗЕРЦЕПАК
(Zercepac)",trastuzumab,Лиофилизат для приготовления концентрата для приготовления раствора для инфузий 150 мг N1 (флаконы),Великобритания,Accord Healthcare Limited,"Противоопухолевый препарат, моноклональные антитела",L01FD01,DV/X/TO 10656/05/24,24/05/24,,по рецепту,,,
1393,"Иринотекана гидрохлорид
(Irinotekan gidroxlorid/ Irinotecan Hydrochloride)",irinotecan,"Концентрат для приготовления раствора для инфузий 20 мг/мл; 40 мг/2 мл 2 мл, 100 мг/5 мл 5 мл, 300 мг/15 мл 15 мл №1 (флаконы)",Великобритания,Accord Healthcare Limited,Противоопухолевое средство,L01XX19,DV/X 09092/06/21,15.06.21,введены изменения: 19.09.25,по рецепту,,,
1458,"КАПЕЦИТАБИН АККОРД
(Kapesitabin Akkord)",capecitabine,"Таблетки, покрытые пленочной оболочкой 150 мг, 300 мг N60 (6x10), 500 мг N120 (12x10) (блистеры)",Великобритания,Accord Healthcare Limited,Противоопухолевое средство,L01BC06,DV/X/TO 09591/12/21,23/12/21,введены изменения: 24.11.23,по рецепту,,,
1472,"Карбоплатин
(Karboplatin / Carboplatin)",carboplatin,"Концентрат для приготовления раствора для инфузий 10 мг/мл; 50 мг/5 мл 5 мл, 150 мг/15 мл 15 мл, 450 мг/45 мл 45 мл, 600 мг/60 мл 60 мл №1 (флаконы)",Великобритания,Accord Healthcare Limited,Противоопухолевое средство,L01XX19,DV/X 09093/06/21,15/06/21,введены изменения: 19.09.25,по рецепту,,,
1844,"ЛЕТРОЗОЛ
(Letrozol)",letrozole,"Таблетки покрытые пленочной оболочкой 2,5 мг N28 (2х14) (блистеры)",Великобритания,Accord Healthcare Limited,Противоопухолевый гормональный препарат. Ингибитор ароматазы,L02BG04,DV/X/TO 10626/05/24,13/05/24,,по рецепту,,,
2152,"МИКОФЕНОЛАТ МОФЕТИЛ
(Mikofenolat mofetil)",mycophenolate mofetil,"Таблетки, покрытые пленочной оболочкой 500 мг N50 (10х5) (упаковки контурные ячейковые)",Великобритания,Accord Healthcare Limited,Иммунодепрессивное средство,L04AA06,DV/X/TO 10364/03/23,28/03/23,,по рецепту,,,
2153,"МИКОФЕНОЛАТ МОФЕТИЛ
(Mikofenolat mofetil)",mycophenolate mofetil,Капсулы 250 мг N100 (10х10) (упаковки контурные ячейковые),Великобритания,Accord Healthcare Limited,Иммунодепрессивное средство,L04AA06,DV/X/TO 10363/03/23,28/03/23,,по рецепту,,,
2155,"МИКОФЕНОЛОВАЯ КИСЛОТА
(Mycophenolic acid)",mycophenolic acid,"Таблетки гастрорезистентные 180 мг, 360 мг N120 (10х12) (блистеры)",Великобритания,Accord Healthcare Limited,Иммунодепрессивное средство,L04AA06,DV/X/TO 10365/03/23,28/03/23,,по рецепту,,,
2475,"Оксалиплатин
(Oksaliplatin/ Oxaliplatin)",oxaliplatin,"Концентрат для приготовления раствора для инфузий 5 мг/мл; 50 мг/10 мл 10 мл, 100 мг/20 мл 20 мл, 200 мг/40 мл 40 мл №1 (флаконы)",Великобритания,Accord Healthcare Limited,Противоопухолевое средство,L03XA03,DV/X 09089/06/21,15.06.2021,введены изменения: 19.09.25,по рецепту,,,
2587,"ПАКЛИТАКСЕЛ
(Paklitaksel)",paclitaxel,"Концентрат для приготовления раствора для инфузий 6 мг/мл; 30 мг/5 мл 5 мл, 100 мг/16,7 мл 16,7 мл, 300 мг/50 мл 50 мл N1 (флаконы)",Великобритания,Accord Healthcare Limited,Противоопухолевое средство,L01CD01,DV/X 09088/06/21,15/06/21,введены изменения: 30.11.22,по рецепту,,,
3862,"Цисплатин
(Sisplatin/Cisplatin)",cysplatin,"Концентрат для приготовления раствора для инфузий 1 мг/мл; 10 мг/10 мл 10 мл, 50 мг/50 мл 50 мл, 100 мг/100 мл 100 мл №1 (флаконы)",Великобритания,Accord Healthcare Limited,Противоопухолевое средство,L01XA01,DV/X 09087/06/21,15.06.21,введены изменения: 19.09.25,по рецепту,,,
3705,"Фторурацил
(Ftoruratsil/ Fluorouracil)",fluorouracil,"Раствор для инъекций или инфузий 50 мг/мл; 500 мг/10 мл 10 мл, 1000 мг/20 мл 20 мл, 5000 мг/100 мл 100 мл №1 (флаконы)",Великобритания,"Accord Healthcare Limited, Великобритания произведено: Accord Healthcare Limited",Противоопухолевое средство,L01BC02,DV/X 09090/06/21,15.06.21,введены изменения: 15.10.25,по рецепту,,,
3284,"ТЕМОЗОЛОМИД АККОРД
(Temozolomid Akkord/ Temozolomide Accord)",temozolomide,"Капсулы твердые 20 мг, 100 мг, 140 мг, 180 мг, 250 мг N5 (5x1) (саше)",Великобритания,"Accord Healthcare Limited, Великобритания произведено: Accord Healthcare Limited, Великобритания. Выпуск серии: Accord Healthcare Limited, Великобритания; Accord Healthcare Polska SP ZOO",Противоопухолевое средство,L01AX03,DV/X/TO 09590/12/21,23/12/21,введены изменения: 19.05.25,по рецепту,,,
