№ п.п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска
11,"L-ТИРОКСИН-RG
(L-Tiroksin-RG)",levothyroxine sodium,"Таблетки 50 мкг, 100 мкг N10 (1x10), N20 (2x10), N50 (5x10), N100 (10x10) (упаковки контурные ячейковые)",Узбекистан,"Remedy Group, СП ООО",Гормон щитовидной железы и его аналог,H03AA01,DV/M 01414/03/17,24.03.17 16.06.22,,по рецепту
12,"MER ДИАБЕТОМР
(MER Diabetomr)",gliclazide,"Таблетки с модифицированным высвобождением 60 мг N10 (1x10), N20 (2x10) (алюминиевые блистеры)",Узбекистан,"Merrymed Farm, ООО",Пищеварительный тракт и обмен веществ. Препарат для лечения сахарного диабета. Производное сульфонилмочевины. Гликлазид,А10ВВ09,DV/M 04938/04/25,30/04/25,,по рецепту
13,"MR TЕТРАЦИКЛИН
(MR Tetratsiklin)",tetracycline,Мазь глазная 1% 10 г (тубы),Узбекистан,"Merrymed Farm, OOO",Антибиотик (гр.тетрациклинов),S03AA02,DV/M 04278/10/22,14/10/22,,по рецепту
14,"MR АЗИМАКС
(MR Azimaks)",azithromycin,"Капсулы 250 мг N6 (1x6), N6 (2x3), 500 мг N3 (1x3) (упаковки контурные ячейковые)",Узбекистан,"Merrymed Farm, ООО",Антибиотик (гр.макролидов),J01FA10,DV/M 02484/03/19,29.03.19 29.11.24,,по рецепту
15,"MR АЗИМАКС
(MR Azimaks)",azithromycin,"Порошок для приготовления суспензии 200 мг/5 мл 15 мл, 30 мл (флаконы)",Узбекистан,"Merrymed Farm, ООО","Макролид, линкозамид и стрептограмин",J01FA10,DV/M 02039/03/18,23.03.18 20.12.24,,по рецепту
16,"MR АМПИЦИЛЛИНА НАТРИЕВАЯ СОЛЬ
(MR Ampicillinum Natrium)",ampicillin,"Порошок для приготовления иньекционного раствора 0,5 г; 1,0 г N10 (1х10), N50 (1х50), N100 (1х100) (флаконы)",Узбекистан,"Merrymed Farm, ООО",Антибиотик (гр.пенициллинов),J01CА01,DV/M 00965/08/16,19.08.16 11.10.21,введены изменения: 10.02.23,по рецепту
17,"MR АНЕСТИЗОЛ
(MR ANESTIZOL)",zinc oxide*; benzocaine; bismuth subgallate*; menthol*,Суппозитории ректальные №10 (2x5) (упаковки контурные ячейковые),Узбекистан,"Merrymed Farm, ООО",Ангиопротекторы. Препараты для местного лечения геморроя и анальных трещин. Другие препараты для местного лечения геморроя и анальных трещин. Висмута препараты в комбинации с другими средствами,C05AX02,DV/M 02205/07/18,24.07.18 30.09.25,,без рецепта
18,"MR АПТИПРИМ
(MR Aptiprim)",comb.drug (sulfamethoxazole; trimethoprim),"Суспензия 240 мг/5 мл 50 мл, 100 мл (флаконы)",Узбекистан,"Merrymed Farm, ООО",Антибактериальное синтетическое средство (сульфаниламид),J01EE01,DV/M 00596/01/16,15.01.16 12.02.21,,по рецепту
19,"MR АЦЕСОЛЬ
(MR ATSESOL)",sodium acetate*; potassium chloride*; sodium chloride*,Раствор для инфузий 200 мл (флаконы),Узбекистан,"Merrymed Farm, ООО","Кровезаменители и перфузионные растворы. Растворы для внутривенного введения. Растворы, влияющие на водно-электролитный баланс",B05BB,DV/M 03223/06/20,12.06.20 28.11.25,,по рецепту
20,"MR АЦИКЛОВИР
(MR Aciclovirum)",aciclovir,Мазь для наружного применения 5% 10 г (тубы),Узбекистан,"Merrymed Farm, ООО",Противовирусное средство,D06BB03,DV/М 00590/01/16,15.01.16 21.01.21,,без рецепта
21,"MR АЦИКЛОВИР
(MR Atsiklovir)",aciclovir,"Таблетки 200 мг N10 (1х10), N20 (2х10) (упаковки контурные ячейковые)",Узбекистан,"Merrymed Farm, ООО","Противовирусный препарат прямого действия. Нуклеозид и нуклеотид, кроме ингибитора обратной транскриптазы. Ацикловир",J05AB01,DV/M 02284/09/18,21.09.18 31.01.25,,по рецепту
22,"MR БЕНЗИЛПЕНИЦИЛЛИНА НАТРИЕВАЯ СОЛЬ
(MR Benzylpenicillinum Natrium)",benzylpenicillin,"Порошок для приготовления инъекционного раствора 1000000 ЕД N10 (1x10), N50 (1х50), N100 (1х100) (флаконы)",Узбекистан,"Merrymed Farm, ООО","Антибиотик (гр.пенициллинов) Пенициллин, чувствительные к бета-лактамазам. Бензилпенициллин.",J01CE01,DV/M 01999/02/18,20.02.18 27.12.24,,по рецепту
23,"MR БИСАКОДИЛ
(MR Bisakodil)",bisacodyl,Суппозитории ректальные 10 мг N10 (2x5) (упаковки контурные ячейковые),Узбекистан,"Merrymed Farm, ООО",Слабительное средство. Контактное слабительное средство. Бисакодил,A06AB02,DV/M 02204/07/18,24.07.18 07.03.25,,без рецепта
24,"MR ГЛИЦЕРИН
(MR Glitserin)",glycerol,"Суппозитории ректальные 1,24 г и 2,11 г N10 (2х5) (упаковки контурные ячейковые)",Узбекистан,"Merrymed Farm, ООО",Слабительное средство,A06AX01,DV/M 01628/07/17,07.07.17 19.07.22,,без рецепта
25,"MR ГЛЮКОЗА
(MR GLYUKOZA)",dextrose*,Раствор для инъекций 40% 10 мл N10 (1х10) (ампулы стеклянные); N50 (5х10) (ампулы полиэтиленовые),Узбекистан,"Merrymed Farm, ООО","Средство для парентерального питания, углеводы",B05CX01,DV/M 00799/05/16,20.05.16 15.06.21,введены изменения: 28.11.25,по рецепту
26,"MR ГЛЮКОЗА
(MR Glyukoza)",dextrose*,"Раствор для инфузий 5% 100 мл, 200 мл, 250 мл, 400 мл, 500 мл (бутылки); 100 мл, 250 мл, 500 мл (флаконы)",Узбекистан,"Merrymed Farm, ООО","Средство для парентерального питания, углеводы",В05СХ01,DV/M 02467/03/19,29.03.19 30.09.24,,по рецепту
27,"MR ДЕКСАМЕТАЗОН
(MR Deksametazon)",dexamethasone,"Капли глазные 1 мг/мл 5 мл N50, N100 (флакон-капельницы)",Узбекистан,"Merrymed Farm, ООО","Препарат, применяемый в офтальмологии. Кортикостероид. Дексаметазон",S01BA01,DV/M 02994/02/20,19.02.20 15.03.25,,по рецепту
28,"MR ДИБАЗОЛ
(MR Dibazol)",bendazol,"Раствор для инъекций 1% 1 мл, 2 мл, 5 мл N10 (1х10) (ампулы стеклянные); N50 (5х10) (ампулы полиэтиленовые)",Узбекистан,"Merrymed Farm, ООО",Антигипертензивное средство,C04AX,DV/М 01169/11/16,18.11.16 30.11.21,введены изменения: 28.11.25,по рецепту
29,"MR ДИКЛОФЕНАК
(MR Diklofenak)",diclofenac,Суппозитории ректальные 100 мг N10 (2x5) (упаковки контурные ячейковые),Узбекистан,"Merrymed Farm, ООО",Нестероидный противовоспалительный и противоревматический препарат. Производное уксусной кислоты и родственное соединение. Диклофенак,M01AB05,DV/M 02180/07/18,06.07.18 15.03.25,,по рецепту
30,"MR ДИМЕКСИД
(MR Dimeksid)",dimethylsulfoxide,"Жидкость для наружного применения 50 мл, 100 мл (флаконы)",Узбекистан,"Merrymed Farm, OOO",Противовоспалительное средство местного действия,M02AX03,DV/M 01521/05/17,19.05.17 13.05.22,,без рецепта
31,"MR КАЛЬЦИЯ ГЛЮКОНАТ
(MR KALCIY GLYUKONAT)",calcium gluconate*,"Раствор для инъекций 10% 5 мл, 10 мл N10 (1х10) (ампулы стеклянные); N50 (5х10) (ампулы полиэтиленовые)",Узбекистан,"Merrymed Farm, ООО","Минеральный препарат, микроэлемент",A12AA03,DV/M 00966/08/16,19.08.16 11.10.21,введены изменения: 28.11.25,по рецепту
32,"MR КАЛЬЦИЯ ХЛОРИД
(MR KALSIY XLORID)",calcium chloride*,"Раствор для иньекций 10% 5 мл, 10 мл N5 (1х5), N10 (1х10) (ампулы стеклянные); N50 (ампулы полиэтиленовые)",Узбекистан,"Merrymed Farm, OOO",Минеральный препарат,A12AA07,DV/M 00967/08/16,19.08.16 11.10.21,введены изменения: 28.11.25,по рецепту
33,"MR КЛОТРИМАЗОЛ
(MR KLOTRIMAZOL)",clotrimazole,Мазь 1% 25 г (тубы),Узбекистан,"Merrymed Farm, ООО","Препараты, применяемые в дерматологии. Противогрибковые препараты применяемые в дерматологии. Противогрибковые препараты для местного применения. Производные имидазола и триазола. Клотримазол",D01AC01,DV/M 00175/06/15,26.06.15 31.10.25,,без рецепта
34,"MR КРИАН
(MR Krian)",,"Капсулы кишечнорастворимые 10000 ЕД №10 (1x10), №20 (2x10) (блистеры)",Узбекистан,"Merrymed Farm, OOO","Пищеварительный тракт и обмен веществ. Препараты, способствующие пищеварению, включая ферментные препараты. Ферментные препараты. Полиферментные препараты (липаза, протеаза и т.д.).",А09АА02,DV/M 05027/07/25,16.07.25,,без рецепта
35,"MR ЛЕВОМИЦЕТИН
(MR Levomitsetin)",chloramphenicol,"Таблетки 500 мг N10, N10 (1х10), N20 (2х10) (упаковки контурные ячейковые)",Узбекистан,"Merrymed Farm, OOO",Антибиотик (гр.хлорамфеникола),J01BA01,DV/M 01439/04/17,11.04.17 13.05.22,,без рецепта
36,"MR ЛЕВОМИЦЕТИН
(MR Levomitsetin)",chloramphenicol,"Капли глазные 0,25% 5 мл, 10 мл N1, N50, N100 (флакон-капельницы)",Узбекистан,"Merrymed Farm, ООО","Препарат, применяемый в офтальмологии. Противомикробный препарат. Антибиотик. Хлорамфеникол",S01AA01,DV/M 02495/04/19,18.04.19 01.03.25,введены изменения: 16.06.25,по рецепту
37,"MR МЕНОВАЗИН
(MR Menovazin)","comb.drug (menthol, novocaine, anaesthesine)","Раствор 25 мл, 40 мл, 50 мл (флаконы)",Узбекистан,"Merrymed Farm, OOO",Местноанестезирующее средство,D04AB,DV/M 01438/04/17,11.04.17 13.05.22,,по рецепту
38,"MR МЕТРОНИДАЗОЛ
(MR Metronidazol)",metronidazole,"Раствор для инфузий 500 мг/100 мл 100 мл (бутылки стеклянные, флаконы полипропиленовые)",Узбекистан,"Merrymed Farm, ООО",Другой антибактериальный препарат. Производное имидазола. Метронидазол,J01XD01,DV/M 02468/03/19,29.03.19 18.11.24,,по рецепту
39,"MR Метронидазол
(MR Metronidazol)",metronidazole,Суппозитории вагинальные 500 мг №10 (2x5) (упаковки контурные ячейковые),Узбекистан,"Merrymed Farm, ООО","Противомикробные препараты и антисептики применяемые в гинекологии. Противомикробные препараты и антисептики, кроме комбинаций с кортикостероидами. Производные имидазола. Метронидазол",G01AF01,DV/M 02214/07/18,30.07.18 15.10.25,,по рецепту
40,"MR НАТРИЯ ТИОСУЛЬФАТ
(MR NATRIY TIOSULFAT)",sodium thiosulfate*,"Раствор для инъекции 30% 5 мл, 10 мл N5 (1х5); N10 (1х10; 2х5) (ампулы стеклянные), N50(5х10) (ампулы полиэтиленовые)",Узбекистан,"Merrymed Farm, ООО","Средство, применяемое при отравлениях и интоксикациях",V03AB06,DV/M 01902/12/17,05.12.17 30.11.22,введены изменения: 28.11.25,по рецепту
41,"MR НАТРИЯ ХЛОРИД
(MR Natriy Xlorid)",sodium chloride*,"Раствор изотонический 0,9% для инфузий 100 мл, 200 мл, 250 мл, 400 мл, 500 мл (флаконы, бутылки)",Узбекистан,"Merrymed Farm, OOO",Солевой раствор,В05СВ01,DV/M 02438/02/19,18.02.19 13.05.24,,по рецепту
42,"MR НИСТАТИН
(MR Nistatin)",nystatin,"Суппозитории вагинальные 250000 ЕД, 500000 ЕД N10 (2x5) (упаковки контурные ячейковые)",Узбекистан,"Merrymed Farm, OOO","Противомикробный препарат и антисептик применяемый в гинекологии. Противомикробный препарат и антисептик, кроме комбинаций с кортикостероидами. Антибиотик. Нистатин",G01AA01,DV/M 02156/06/18,22.06.18 05.04.25,,по рецепту
43,"MR НИСТАТИН
(MR Nistatin)",nystatin,"Таблетки, покрытые оболочкой 500 000 ЕД N10 (1x10), N20 (2x10) (упаковки контурные ячейковые)",Узбекистан,"Merrymed Farm, ООО","Противодиарейный, кишечный противовоспалительный, противомикробный препарат. Кишечный противомикробный препарат. Антибактериальный препарат. Нистатин",A07AA02,DV/M 02283/09/18,21.09.18 05.04.25,,по рецепту
44,"MR ОФЛОДИК
(MR Oflodik)",ofloxacin,"Раствор для инфузий 2 мг/мл, 100 мл (флаконы, бутылки)",Узбекистан,"Merrymed Farm, ООО",Противомикробные препараты системного действия. Антибактериальные препараты системного действия. Антибактериальные препараты производные хинолона. Фторхинолоны,J01MA01,DV/M 02652/07/19,23.07.19 25.07.25,,по рецепту
45,"MR ПАПАВЕРИН
(MR PAPAVERIN)",papaverine hydrochloride*,Суппозитории ректальные 20 мг N10 (2х5) (упаковки контурные ячейковые),Узбекистан,"Merrymed Farm, OOO",Спазмолитическое средство,A03AD01,DV/M 01913/12/17,19.12.17 21.12.22,,по рецепту
46,"MR ПАПАВЕРИНА ГИДРОХЛОРИД
(МR PAPAVERIN GIDROXLORID)",papaverine hydrochloride*,Раствор для инъекций 2% 2 мл N10 (1х10) (ампулы стеклянные); N50 (5х10) (ампулы полиэтиленовые),Узбекистан,"Merrymed Farm, ООО",Спазмолитическое средство,A03AD01,DV/M 00882/07/16,08.07.16 15.06.21,введены изменения: 28.11.25,по рецепту
47,"MR РИБОКСИН
(MR RIBOKSIN)",Inosine,"Раствор для инъекций 2% 5 мл, 10 мл N10 (1х10) (ампулы стеклянные); N50 (ампулы полиэтиленовые)",Узбекистан,"Merrymed Farm, ООО",Средство для коррекции метаболических процессов,C01EB,DV/M 00968/08/16,19.08.16 11.10.21,введены изменения: 28.11.25,по рецепту
48,"MR РИНГЕР
(MR Ringer)",compound solution of sodium chloride,"Раствор для инфузий 100 мл, 200 мл, 250 мл, 500 мл (флаконы полипропиленовые)",Узбекистан,"Merrymed Farm, ООО","Кровезаменитель и перфузионный раствор. Раствор для внутривенного введения. Раствор, влияющий на водно-электролитный баланс. Электролит",В05ВВ,DV/M 02905/12/19,13.12.19 15.03.25,,по рецепту
49,"MR РИНГЕР-ЛАКТАТ
(MR Ringer-Laktat)",compound solution of sodium lactate,"Раствор для инфузий 250 мл (флаконы полипропиленовые, флаконы стеклянные)",Узбекистан,"Merrymed Farm, OOO","Кровезаменитель и перфузионный раствор. Раствор для внутривенного введения. Раствор, влияющий на водно-электролитный баланс",В05ВВ,DV/M 04908/04/25,05/04/25,,по рецепту
50,"MR САМНАТ
(MR Samnat)",zopiclone,"Таблетки, покрытые оболочкой 7,5 мг N10 (1х10) (упаковки контурные ячейковые)",Узбекистан,"Merrymed Farm, OOO",Снотворное средство,N05CF01,DV/M 00323/09/15,28.09.15 18.09.20,,по рецепту
51,"MR СИНТОМИЦИН
(MR Sintomitsin)",chloramphenicol,Суппозитории вагинальные 250 мг N10 (2x5) (упаковки контурные ячейковые),Узбекистан,"Merrymed Farm, ООО","Противомикробный препарат и антисептик, применяемый в гинекологии. Противомикробный препарат и антисептик, кроме комбинаций с кортикостероидами. Антибиотик. Хлорамфеникол",G01AA05,DV/M 02236/08/18,13.08.18 19.04.25,,по рецепту
52,"MR СТРЕПТОМИЦИНА СУЛЬФАТ
(MR Sreptomitsin Sulfat)",streptomycin,"Порошок для приготовления раствора для инъекций 1 г №10 (1х10), №50 (1x50), №100 (1x100) (флаконы)",Узбекистан,"Merrymed Farm, ООО",Противомикробные препараты системного действия. Антибактериальные препараты системного действия. Аминогликозиды. Стрептомицины. Стрептомицин.,J01GA01,DV/M 02716/08/19,15.08.19 01.07.25,,по рецепту
53,"MR СУЛЬФАЦИЛ НАТРИЯ
(MR Sulfatsil Natriy)",sulfacetamide,"Капли глазные 200 мг/мл 5 мл, 10 мл N50, N100 (флакон-капельницы)",Узбекистан,"Merrymed Farm, ООО","Препарат, применяемый в офтальмологии. Противомикробный препарат. Сульфаниламид. Сульфацетамид",S01AB04,DV/M 02950/12/19,27.12.19 28.03.25,,без рецепта
54,"MR ЦЕФАЗОЛИНА НАТРИЕВАЯ СОЛЬ
(MR Cefazolinum Natrium)",cefazolin,"Порошок для приготовления инъекционного раствора 1,0 г N10 (1х10), N50 (1х50), N100 (1х100) (флаконы)",Узбекистан,"Merrymed Farm, ООО",Антибиотик (гр.цефалоспоринов),J01DD63,DV/M 01243/12/16,20.12.16 30.11.21,введены изменения: 10.02.23,по рецепту
55,"MR ЦЕФОТАКСИМА НАТРИЕВАЯ СОЛЬ
(MR Sefotaksim Natriyli Tuzi)",cefotaxime,"Порошок для приготовления инъекционного раствора 1,0 г N10 (1х10), N50 (1х50), N100 (1х100) (флаконы)",Узбекистан,"Merrymed Farm, ООО",Антибиотик (гр.цефалоспоринов),J01DA10,DV/M 01009/09/16,09.09.16 10.09.21,введены изменения: 10.02.23,по рецепту
56,"MR ЦЕФТРИАКСОНА НАТРИЕВАЯ СОЛЬ
(MR Ceftriaxonum Natrium)",ceftriaxone,"Порошок для приготовления инъекционного раствора 1,0 г N10 (1х10), N50 (1х50), N100 (1х100) (флаконы)",Узбекистан,"Merrymed Farm, ООО",Антибиотик (гр.цефалоспоринов),J01DA13,DV/M 01150/11/16,18.11.16 30.11.21,введены изменения: 10.02.23,по рецепту
57,"MR ЭРИТРОМИЦИН
(MR Eritromitsin)",erythromycin,Мазь глазная 10000 ЕД/г 10 г (тубы),Узбекистан,"Merrymed Farm, ООО",Антибиотик (гр.макролидов),S01AA17,DV/M 04367/12/22,21/12/22,,по рецепту
58,"NANO АСКОРБИНОВАЯ КИСЛОТА
(NANO Askorbin kislotasi)",аscorbic acid,Раствор для инъекций 5% 2 мл N10 (2x5) (ампулы),Узбекистан,"Nano Pharmaceuticals, ООО",Пищеварительный тракт и обмен веществ. Витамины. Аскорбиновая кислота (витамин С). Аскорбиновая кислота,A11GA01,DV/M 02756/09/19,20.09.19 01.07.25,введены изменения: 19.09.25,по рецепту
59,"NANO ВИТАМИН В КОМПЛЕКС
(NANO Vitamin B Kompleksi)",tiamine; riboflavine; piridoxine; nicotinamide,"Раствор для инъекций 2 мл N5 (1x5), N10 (2x5), N10 (1x10) (ампулы)",Узбекистан,"Nano Pharmaceuticals, ООО","Пищеварительный тракт и обмен веществ. Витамины. Комплекс витаминов группы B, включая комбинации с другими препаратами",А11Е,DV/M 02888/12/19,13.12.19 16.06.25,введены изменения: 19.09.25,по рецепту
60,"NANO ДЕКСАМЕТАЗОН
(NANO Deksametazon)",dexamethasone,"Раствор для инъекций 0,4 % 1 мл N10, N10 (2x5), N10 (1x10) (ампулы)",Узбекистан,"Nano Pharmaceuticals, ООО","Гормональные препараты системного действия, кроме половых гормонов и инсулинов. Кортикостероиды системного действия. Глюкокортикоиды. Дексаметазон",Н02АВ02,DV/M 02977/02/20,19.02.20 25.07.25,введены изменения: 19.09.25,по рецепту
61,"NANO РИМОКСИКАМ
(NANO RIMOKSIKAM)",inosine,"Раствор для инъекций 2% 5 мл, 10 мл N10 (2x5) (ампулы)",Узбекистан,"Nano Pharmaceuticals, ООО",Сердечно-сосудистая система. Препараты для лечения заболеваний сердца. Другие препараты для лечения заболеваний сердца,C01EB,DV/M 02621/06/19,28.06.19 01.07.25,введены изменения: 19.09.25,по рецепту
62,"NANO РИМОКСИКАМ
(NANO RIMOKSIKAM)",meloxicam,"Раствор для инъекций 1% 1.5 мл N5, N5 (1x5) (ампулы)",Узбекистан,"Nano Pharmaceuticals, ООО",Противовоспалительные и противоревматические препараты. Нестероидные противовоспалительные и противоревматические препараты. Оксикамы,M01AC06,DV/M 02623/06/19,28.06.19 01.07.25,введены изменения: 19.09.25,по рецепту
63,"NPP НАТРИЙ ХЛОР
(NPP Natrii Chloridum)",sodium chloride,"Раствор для инъекций 0,9% 5 мл, 10 мл N5, N10 (2х5) (ампулы)",Узбекистан,"Namangan Pharm Plant, ООО",Солевой раствор,B05CB01,DV/M 03931/10/21,11/10/21,,по рецепту
64,"TИОТРИЛИН
(Tiotrilin)",tiazotic acid,"Раствор для инъекций 2,5% 4 мл №5 (1x5) (ампулы)",Узбекистан,"Mediofarm, OOO",Сердечно-сосудистая система. Препараты для лечения заболеваний сердца. Другие препараты для лечения заболеваний сердца,С01ЕВ,DV/M 03268/06/20,12.06.20 15.10.25,,по рецепту
65,"АБАЗИТ
(Abazit)",azithromycin,"Капсулы 250 мг N6 (1х6), 500 мг N3 (1х3) (упаковки контурные ячейковые)",Узбекистан,"Remedy Group, СП ООО",Антибиотик (гр.макролидов),J01FA10,DV/M 01069/10/16,21.10.16 11.10.21,введены изменения: 22.06.23,по рецепту
66,"АБАКСАЦИН-NGP
(Abaksatsin-NGP)",pefloxacin,Капсулы 200 мг N20 (2х10) (упаковки контурные ячейковые),Узбекистан,"Neogalenpharm, OOO",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA03,DV/M 01862/11/17,15.11.17 30.11.22,,по рецепту
67,"АВИЛОН НЕО
(Avilon Neo)",levofloxacin,"Раствор для инфузий 500 мг/100 мл 100 мл, 1000 мг/200 мл 200 мл (флаконы полиэтиленовые, флаконы стеклянные)",Узбекистан,"Remedy Group, СП ООО для Zeus Pharma Ltd, Великобритания",Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA12,DV/M 04413/05/23,05/05/23,введены изменения: 24.11.23,по рецепту
68,"АВИНОРА
(Avinora)","thiotriazolinе*, piracetam","Раствор для инъекций 5 мл N5 (1x5), N10 (2x5), N10 (1x10) (ампулы)",Узбекистан,"Bayan Medical, ООО",Ноотропное средство,N06BX,DV/M 04673/08/24,07/08/24,введены изменения: 28.11.25,по рецепту
69,"АВИРЕН
(Aviren)",entecavir,"Таблетки покрытые пленочной оболочкой 0,5 мг, 1,0 мг №10 (1x10), №20 (2х10), №30 (3х10), №60 (6х10) (упаковки контурные ячейковые)",Узбекистан,"Remedy Group, СП ООО",Противомикробные препараты системного действияПротивовирусные препараты системного действия Противовирусные препараты прямого действия Нуклеозиды и нуклеотиды – ингибиторы обратной транскриптазы Энтекавир.,J05AF10,DV/M 04987/07/25,01/07/25,,по рецепту
70,"АВИРОЛ С® НИКА
(Avirol S Nika)","comb.drug (paracetamol, remantadine; ascorbic acid; loratadine; rutoside; calcium carbonate)","Капсулы N10 (1х10), N20 (2х10), N30 (3х10), N40 (4х10), N50 (5х10) (упаковки контурные ячейковые)",Узбекистан,"Nika Pharm, ООО",Средство для устранения симптомов ОРЗ,N02BE51,DV/M 00558/12/15,25.12.15 29.12.20,,по рецепту
71,"АВИРОЛ С®
(Avirol C)",comb.drug (paracetamol; remantadine; ascorbic acid; loratadine; rutoside; calcium carbonate),"Капсулы N6 (1х6), N10 (1x10), N12 (2x6), N18 (3x6), N20 (2х10), N30 (3х10) (упаковки контурные ячейковые)",Узбекистан,"Nika Pharm, ООО",Средство для устранения симптомов ОРЗ,N02BE51,DV/M 01677/07/17,21.07.17 19.07.22,,без рецепта
72,"АВИТАН
(Avitan)",tenoxicam,Порошок лиофилизированный для приготовления раствора для инъекций 20 мг №1 (флаконы стеклянные),Узбекистан,"Remedy Group, СП ООО",Костно-мышечная система. Нестероидные противовоспалительные и противоревматические препараты. Оксикамы. Теноксикам,М01АС02,DV/M 05133/08/25,27.08.25,,по рецепту
73,"АГРИЦИТ
(Agritsit)",citicoline sodium,"Раствор для инфузий 10 мг/мл 100 мл, 200 мл (бутылки, флаконы)",Узбекистан,"Reka-Med Farm, СП ООО",Ноотропное средство,N06BX06,DV/M 03960/11/21,05/11/21,введены изменения: 29.03.22,по рецепту
74,"АДАКСИКАМ
(ADAKSIKAM)",tenoxicam,"Лиофилизат для приготовления раствора для инъекций 20 мг №1, №3, №5 (флаконы стеклянные) в комплекте с растворителем - вода для инъекций 2 мл №1, №3, №5 (ампулы стеклянные)",Узбекистан,"Zuma Pharma, ООО",Костно-мышечная система. Противовоспалительные и противоревматические препараты. Нестероидные противовоспалительные и противоревматические препараты Оксикамы. Теноксикам,М01АС02,DV/M 05318/11/25,28.11.25,,по рецепту
75,"АДГЕФ
(Adgef)",gefitinib,"Таблетки, покрытые пленочной оболочкой 250 мг N30 (флаконы)",Узбекистан,"Beta Ubk International Private Limited, СП ООО",Противоопухолевое средство,L01ХЕ02,DV/M 03872/08/21,18/08/21,,по рецепту
